input_norm,output_norm
-1.0,-0.9104412603125628
-0.9990229604298975,-0.9104412603125628
-0.9980459208597948,-0.9104412603125628
-0.9970688812896922,-0.9104412603125628
-0.9960918417195896,-0.9104412603125628
-0.9951148021494871,-0.9105873381989523
-0.9941377625793845,-0.9110528124399965
-0.9931607230092818,-0.9108108419428792
-0.9921836834391793,-0.9110246885105584
-0.9912066438690768,-0.9108615707169735
-0.9902296042989741,-0.9105009140415662
-0.9892525647288715,-0.9103241884373944
-0.9882755251587689,-0.9101403469012648
-0.9872984855886664,-0.9105312439339462
-0.9863214460185638,-0.9106500131246515
-0.9853444064484611,-0.9106926027293138
-0.9843673668783586,-0.911043726258111
-0.983390327308256,-0.9111293878124014
-0.9824132877381534,-0.9107329019381283
-0.9814362481680508,-0.9103364160638552
-0.9804592085979482,-0.910736063379215
-0.9794821690278457,-0.9111969901120379
-0.978505129457743,-0.9110099787914478
-0.9775280898876404,-0.9108229674708578
-0.9765510503175379,-0.9102210932307124
-0.9755740107474353,-0.9112052337596254
-0.9745969711773327,-0.9115742436358352
-0.97361993160723,-0.911387059876832
-0.9726428920371275,-0.9109013783163462
-0.971665852467025,-0.910632682247651
-0.9706888128969223,-0.9103092336159372
-0.9697117733268197,-0.9105228649545323
-0.9687347337567171,-0.9105200172234164
-0.9677576941866146,-0.9103939224724331
-0.966780654616512,-0.9102678277214499
-0.9658036150464093,-0.9098766941333292
-0.9648265754763068,-0.9106868441692137
-0.9638495359062043,-0.9106830557940093
-0.9628724963361016,-0.9098961454286122
-0.961895456765999,-0.9103023328144237
-0.9609184171958964,-0.9105364313164888
-0.9599413776257939,-0.9102391914215306
-0.9589643380556913,-0.9112069989373865
-0.9579872984855886,-0.9114042985701597
-0.9570102589154861,-0.9111601981267247
-0.9560332193453835,-0.9110436114380812
-0.9550561797752809,-0.9109270247494377
-0.9540791402051783,-0.9108104380607941
-0.9531021006350757,-0.9101771422919522
-0.9521250610649732,-0.9095846657385758
-0.9511480214948705,-0.9111700894956992
-0.9501709819247679,-0.9112901236389311
-0.9491939423546654,-0.9111008816868575
-0.9482169027845628,-0.910911639734784
-0.9472398632144602,-0.9107223977827102
-0.9462628236443575,-0.9105118084059574
-0.945285784074255,-0.9102102350880547
-0.9443087445041525,-0.910940404239062
-0.9433317049340498,-0.9115678355022536
-0.9423546653639472,-0.9114179805649708
-0.9413776257938447,-0.9113546053094758
-0.9404005862237421,-0.9110765857409462
-0.9394235466536395,-0.9108956802355686
-0.9384465070835368,-0.911131692285063
-0.9374694675134343,-0.9109033705915726
-0.9364924279433318,-0.9105587722797442
-0.9355153883732291,-0.9105799317549428
-0.9345383488031265,-0.9107341873984963
-0.9335613092330239,-0.9107032343842414
-0.9325842696629214,-0.9106099238834777
-0.9316072300928188,-0.9105166133827142
-0.9306301905227161,-0.9104233028819505
-0.9296531509526136,-0.9103299923811868
-0.928676111382511,-0.9104128652947474
-0.9276990718124084,-0.9108276913189933
-0.9267220322423058,-0.9114116356227694
-0.9257449926722032,-0.9115477625376547
-0.9247679531021007,-0.9095370805567441
-0.923790913531998,-0.9096550317058371
-0.9228138739618954,-0.9097729828549299
-0.9218368343917929,-0.9098909340040229
-0.9208597948216903,-0.9103386097557188
-0.9198827552515877,-0.9107520052193397
-0.918905715681485,-0.9108215461660953
-0.9179286761113825,-0.9108931309587714
-0.91695163654128,-0.9110048687409497
-0.9159745969711773,-0.910491659847732
-0.9149975574010747,-0.9116531586392849
-0.9140205178309722,-0.9118881295182717
-0.9130434782608696,-0.9120445549779006
-0.912066438690767,-0.911574240192524
-0.9110893991206643,-0.9108354630913506
-0.9101123595505618,-0.9106227138534965
-0.9091353199804593,-0.9106936873956495
-0.9081582804103566,-0.9112714892875501
-0.907181240840254,-0.9118492911794506
-0.9062042012701514,-0.9118249374962943
-0.9052271617000489,-0.9116916580246001
-0.9042501221299463,-0.9115060443020561
-0.9032730825598436,-0.9113204305795121
-0.9022960429897411,-0.9111348168569681
-0.9013190034196386,-0.9109372643457425
-0.9003419638495359,-0.9107164095673899
-0.8993649242794333,-0.9104955547890371
-0.8983878847093307,-0.9112131157599384
-0.8974108451392282,-0.9119299106025477
-0.8964338055691256,-0.9120767402383937
-0.8954567659990229,-0.9114868632012159
-0.8944797264289204,-0.9110219435764165
-0.8935026868588178,-0.9102433067927559
-0.8925256472887152,-0.9103902100690635
-0.8915486077186126,-0.9110898819650176
-0.89057156814851,-0.9112719895092636
-0.8895945285784075,-0.9115539953706076
-0.8886174890083048,-0.9123037264771126
-0.8876404494382022,-0.9121227655964638
-0.8866634098680997,-0.9119418047158151
-0.8856863702979971,-0.9117608438351664
-0.8847093307278945,-0.9114651452549822
-0.8837322911577918,-0.9110756858075666
-0.8827552515876893,-0.910686226360151
-0.8817782120175868,-0.9104877263303555
-0.8808011724474841,-0.9118093670259292
-0.8798241328773815,-0.9116088264212232
-0.878847093307279,-0.9107782420117393
-0.8778700537371764,-0.9104907265778052
-0.8768930141670738,-0.9108994815101421
-0.8759159745969711,-0.9116071617007049
-0.8749389350268686,-0.9119392161595317
-0.8739618954567661,-0.9110001815803791
-0.8729848558866634,-0.9099209516847208
-0.8720078163165608,-0.9108998522352283
-0.8710307767464582,-0.9116146808000738
-0.8700537371763557,-0.9112685789450934
-0.8690766976062531,-0.910922477090113
-0.8680996580361504,-0.9101708396694896
-0.8671226184660479,-0.9096407180170315
-0.8661455788959453,-0.9114646811298175
-0.8651685393258427,-0.9116271153265448
-0.8641914997557401,-0.9108978592900376
-0.8632144601856375,-0.9112699736807403
-0.862237420615535,-0.91077154271342
-0.8612603810454323,-0.9108561111623785
-0.8602833414753297,-0.9109021704539609
-0.8593063019052272,-0.9116577129061376
-0.8583292623351246,-0.9110497309228476
-0.857352222765022,-0.9111558743491808
-0.8563751831949193,-0.9111815203780853
-0.8553981436248168,-0.9102700551084705
-0.8544211040547143,-0.910528261229829
-0.8534440644846116,-0.910026103751312
-0.852467024914509,-0.9104527487825664
-0.8514899853444065,-0.9114735132679195
-0.8505129457743039,-0.9105430153488614
-0.8495359062042013,-0.9104679741609145
-0.8485588666340986,-0.910269798297356
-0.8475818270639961,-0.9099074511556997
-0.8466047874938936,-0.9097141272451363
-0.8456277479237909,-0.909674604797481
-0.8446507083536883,-0.9097505938587804
-0.8436736687835857,-0.9101655647091393
-0.8426966292134832,-0.9093930680183292
-0.8417195896433806,-0.9098350433418084
-0.8407425500732779,-0.9091967932353875
-0.8397655105031754,-0.9086358000031259
-0.8387884709330728,-0.908918817385748
-0.8378114313629702,-0.9094484981764175
-0.8368343917928676,-0.9094453407156556
-0.835857352222765,-0.908745093571742
-0.8348803126526625,-0.9083743360918578
-0.8339032730825598,-0.9079933521446955
-0.8329262335124572,-0.9077217183692055
-0.8319491939423547,-0.9078992831730276
-0.8309721543722521,-0.9083726405097816
-0.8299951148021495,-0.9080661495116881
-0.8290180752320468,-0.9077829767211891
-0.8280410356619443,-0.9076484822788945
-0.8270639960918418,-0.9075229829884638
-0.8260869565217391,-0.9071667499038432
-0.8251099169516365,-0.9061886583628849
-0.824132877381534,-0.9062256758281166
-0.8231558378114314,-0.9057862941682038
-0.8221787982413288,-0.9053014943873688
-0.8212017586712261,-0.90539049693095
-0.8202247191011236,-0.9055842349560725
-0.8192476795310211,-0.9050288697371521
-0.8182706399609184,-0.9041876133131073
-0.8172936003908158,-0.9044118052590966
-0.8163165608207132,-0.9038952924603005
-0.8153395212506107,-0.9033346631874439
-0.8143624816805081,-0.9029042916112731
-0.8133854421104054,-0.9024673424338515
-0.8124084025403029,-0.9017698411631543
-0.8114313629702004,-0.9016708590530028
-0.8104543234000977,-0.9018659602100705
-0.8094772838299951,-0.9013619369960298
-0.8085002442598925,-0.9007500688976198
-0.80752320468979,-0.9011422152459128
-0.8065461651196874,-0.9001854807448268
-0.8055691255495847,-0.8989017573794443
-0.8045920859794822,-0.89899364558854
-0.8036150464093796,-0.8991158014539714
-0.802638006839277,-0.8979809680846202
-0.8016609672691744,-0.8976892981183097
-0.8006839276990718,-0.8974307147012498
-0.7997068881289693,-0.8963378809534955
-0.7987298485588666,-0.895231369090326
-0.797752808988764,-0.8946458471368234
-0.7967757694186615,-0.8933450045461969
-0.7957987298485589,-0.8926122188989688
-0.7948216902784563,-0.8920683517124375
-0.7938446507083536,-0.891661011794416
-0.7928676111382511,-0.8914112128623237
-0.7918905715681486,-0.8900035118304278
-0.7909135319980459,-0.8884261311453054
-0.7899364924279433,-0.8876863637201229
-0.7889594528578407,-0.8866430575656334
-0.7879824132877382,-0.8857114188919909
-0.7870053737176356,-0.8847875415529339
-0.7860283341475329,-0.8837773062914629
-0.7850512945774304,-0.8826324105510062
-0.7840742550073279,-0.8815461274301678
-0.7830972154372252,-0.8805651138031432
-0.7821201758671226,-0.8795124548002177
-0.78114313629702,-0.8785122733879224
-0.7801660967269175,-0.8773160882075766
-0.7791890571568149,-0.8761608657331142
-0.7782120175867122,-0.8751458793158723
-0.7772349780166097,-0.8741673625517965
-0.7762579384465071,-0.8729177930943027
-0.7752808988764045,-0.8718205009880862
-0.7743038593063019,-0.870883996331765
-0.7733268197361993,-0.8698141400131317
-0.7723497801660968,-0.8687440899128728
-0.7713727405959941,-0.867651105958124
-0.7703957010258915,-0.8665426501569761
-0.769418661455789,-0.8653880929601107
-0.7684416218856864,-0.8642640575304612
-0.7674645823155838,-0.8631947256942617
-0.7664875427454811,-0.8620126598208527
-0.7655105031753786,-0.8610743922027202
-0.7645334636052761,-0.8600520420003578
-0.7635564240351734,-0.8589646681246497
-0.7625793844650708,-0.8578694035052552
-0.7616023448949683,-0.8567779604106794
-0.7606253053248657,-0.8556879014072771
-0.7596482657547631,-0.8545877246956032
-0.7586712261846604,-0.8534698974669347
-0.7576941866145579,-0.8523809968171363
-0.7567171470444554,-0.851266004860186
-0.7557401074743527,-0.8502002245221203
-0.7547630679042501,-0.849090329948285
-0.7537860283341475,-0.8480177060552258
-0.752808988764045,-0.846942861379202
-0.7518319491939424,-0.8458094344148057
-0.7508549096238397,-0.8447362015726337
-0.7498778700537372,-0.8436672327553165
-0.7489008304836346,-0.8425785674427543
-0.747923790913532,-0.8414849033927903
-0.7469467513434294,-0.8403931253696947
-0.7459697117733268,-0.8392183375149329
-0.7449926722032243,-0.8381241295467499
-0.7440156326331216,-0.8370935631626333
-0.743038593063019,-0.8360226696461716
-0.7420615534929165,-0.8349114575761035
-0.7410845139228139,-0.8337929727650802
-0.7401074743527113,-0.8327338277182964
-0.7391304347826086,-0.8316588562205299
-0.7381533952125061,-0.8304851557105127
-0.7371763556424036,-0.8292647958559304
-0.7361993160723009,-0.8283768053640186
-0.7352222765021983,-0.8272827114224266
-0.7342452369320958,-0.8261967039263316
-0.7332681973619932,-0.8249866627255757
-0.7322911577918906,-0.8239505985208972
-0.7313141182217879,-0.8228863274566637
-0.7303370786516854,-0.8217828070831759
-0.7293600390815829,-0.8206558862955735
-0.7283829995114802,-0.8195539414916818
-0.7274059599413776,-0.8185325337872182
-0.726428920371275,-0.8173724162876256
-0.7254518808011725,-0.8161780189357901
-0.7244748412310699,-0.8151093558311527
-0.7234978016609672,-0.8140927317522787
-0.7225207620908647,-0.8130283019969916
-0.7215437225207622,-0.8118962245867889
-0.7205666829506595,-0.8108077518802355
-0.7195896433805569,-0.8096756960816975
-0.7186126038104543,-0.8085822870756768
-0.7176355642403518,-0.8076063220926698
-0.7166585246702492,-0.8064961887196794
-0.7156814851001465,-0.8053605144859981
-0.714704445530044,-0.8043016452930859
-0.7137274059599414,-0.8032652769623054
-0.7127503663898388,-0.802178161853298
-0.7117733268197362,-0.8010724271052546
-0.7107962872496336,-0.7999666923572113
-0.7098192476795311,-0.7988609576091681
-0.7088422081094284,-0.7977944561708356
-0.7078651685393258,-0.7967048584413396
-0.7068881289692233,-0.7954353955224995
-0.7059110893991207,-0.794467853937801
-0.7049340498290181,-0.7934341254390487
-0.7039570102589154,-0.7922940979487493
-0.7029799706888129,-0.7911459854381834
-0.7020029311187104,-0.7899978729276174
-0.7010258915486077,-0.788954114314209
-0.7000488519785051,-0.7879792782679288
-0.6990718124084025,-0.7868907402383597
-0.6980947728383,-0.7857979491225694
-0.6971177332681974,-0.7847051580067789
-0.6961406936980947,-0.7835765132953458
-0.6951636541279922,-0.7825032183724332
-0.6941866145578897,-0.7812880097880758
-0.693209574987787,-0.7801227519394971
-0.6922325354176844,-0.7791102032236582
-0.6912554958475818,-0.7781427998802934
-0.6902784562774793,-0.7769892594753399
-0.6893014167073767,-0.7758045441580932
-0.688324377137274,-0.7746703286488514
-0.6873473375671715,-0.7736628582766638
-0.686370297997069,-0.7725707143752845
-0.6853932584269663,-0.7714906132245218
-0.6844162188568637,-0.7704139259722567
-0.6834391792867611,-0.7693372387199917
-0.6824621397166586,-0.7682995237925209
-0.6814851001465559,-0.767138470411513
-0.6805080605764533,-0.765958396582173
-0.6795310210063508,-0.7649358897043746
-0.6785539814362482,-0.7639482890815308
-0.6775769418661456,-0.7628531452413077
-0.6765999022960429,-0.7617166370978413
-0.6756228627259404,-0.7604848855565478
-0.6746458231558379,-0.7594271556678998
-0.6736687835857352,-0.758483611265412
-0.6726917440156326,-0.7574011817824052
-0.67171470444553,-0.7561529313381439
-0.6707376648754275,-0.7550548965276968
-0.6697606253053249,-0.7540653870758829
-0.6687835857352222,-0.753030090837073
-0.6678065461651197,-0.7518189382431838
-0.6668295065950172,-0.7506230763321379
-0.6658524670249145,-0.7495806219717799
-0.6648754274548119,-0.7485893423957241
-0.6638983878847093,-0.7475243561356757
-0.6629213483146068,-0.7464676713588028
-0.6619443087445042,-0.7453760931679282
-0.6609672691744015,-0.7442845149770535
-0.659990229604299,-0.7431969587025492
-0.6590131900341964,-0.7420441545416067
-0.6580361504640938,-0.7408851920071486
-0.6570591108939912,-0.739737078310196
-0.6560820713238886,-0.7386705793726083
-0.6551050317537861,-0.737712696844244
-0.6541279921836834,-0.7366471902083924
-0.6531509526135808,-0.735554271320053
-0.6521739130434783,-0.7344618678935733
-0.6511968734733757,-0.7333694644670935
-0.6502198339032731,-0.7322825956153498
-0.6492427943331704,-0.7311835881410069
-0.6482657547630679,-0.7300576335801806
-0.6472887151929654,-0.728930462148205
-0.6463116756228627,-0.7278032907162292
-0.6453346360527601,-0.7267027373107677
-0.6443575964826576,-0.7256146672467465
-0.643380556912555,-0.7245481770732272
-0.6424035173424524,-0.7234910762318627
-0.6414264777723497,-0.7224339753904983
-0.6404494382022472,-0.721357453087832
-0.6394723986321447,-0.7202150219069087
-0.638495359062042,-0.7190974438792973
-0.6375183194919394,-0.7179842265580347
-0.6365412799218368,-0.7168752356513243
-0.6355642403517343,-0.7158469735969692
-0.6345872007816317,-0.7146901068077778
-0.633610161211529,-0.7135150705576969
-0.6326331216414265,-0.7125340650799349
-0.631656082071324,-0.7115234441621554
-0.6306790425012213,-0.7104366100106005
-0.6297020029311187,-0.7093477357177653
-0.6287249633610161,-0.7082208328987651
-0.6277479237909136,-0.707093930079765
-0.626770884220811,-0.7059670272607645
-0.6257938446507083,-0.7049408431627681
-0.6248168050806058,-0.7037729912721159
-0.6238397655105032,-0.7026733163267174
-0.6228627259404006,-0.7015800694143765
-0.621885686370298,-0.7005586243850191
-0.6209086468001954,-0.6995162170269643
-0.6199316072300929,-0.6984222878752194
-0.6189545676599902,-0.6972478909982539
-0.6179775280898876,-0.6961781532923134
-0.6170004885197851,-0.6951428102555531
-0.6160234489496825,-0.6940507703128194
-0.6150464093795799,-0.6929672514289774
-0.6140693698094772,-0.6918758206615299
-0.6130923302393747,-0.690664644626068
-0.6121152906692722,-0.6894891717373057
-0.6111382510991695,-0.6885929599314999
-0.6101612115290669,-0.6875006524779126
-0.6091841719589643,-0.6863836164876045
-0.6082071323888618,-0.6852665804972963
-0.6072300928187592,-0.6841495445069881
-0.6062530532486565,-0.6831317076727139
-0.605276013678554,-0.6819545299955245
-0.6042989741084515,-0.6808269931298561
-0.6033219345383488,-0.6797352059070887
-0.6023448949682462,-0.6786434186843213
-0.6013678553981436,-0.6775535848628759
-0.6003908158280411,-0.6765602189754708
-0.5994137762579385,-0.6754928244019628
-0.5984367366878358,-0.6744007077294982
-0.5974596971177333,-0.6733085910570337
-0.5964826575476307,-0.6722164743845692
-0.5955056179775281,-0.6711219561104674
-0.5945285784074255,-0.6700294136673062
-0.5935515388373229,-0.6689381283336666
-0.5925744992672204,-0.6678468430000271
-0.5915974596971177,-0.6667555576663875
-0.5906204201270151,-0.6654368594207654
-0.5896433805569126,-0.6643389102065711
-0.58866634098681,-0.6632865230161218
-0.5876893014167074,-0.662246404549918
-0.5867122618466047,-0.6612062860837143
-0.5857352222765022,-0.6601661676175107
-0.5847581827063997,-0.6590291854564968
-0.583781143136297,-0.657851163235201
-0.5828041035661944,-0.656709059198469
-0.5818270639960919,-0.6557240109070923
-0.5808500244259893,-0.6547404525521376
-0.5798729848558867,-0.6536449162606875
-0.578895945285784,-0.6525148658405098
-0.5779189057156815,-0.651384815420332
-0.576941866145579,-0.6502547650001542
-0.5759648265754763,-0.6492708430344746
-0.5749877870053737,-0.6481410791337912
-0.5740107474352711,-0.6469950382765339
-0.5730337078651686,-0.6458489974192767
-0.572056668295066,-0.6447029565620193
-0.5710796287249633,-0.643575479753913
-0.5701025891548608,-0.6424821233175861
-0.5691255495847583,-0.6413908479778062
-0.5681485100146556,-0.6403529763942
-0.567171470444553,-0.6393413931217166
-0.5661944308744504,-0.6383298098492333
-0.5652173913043479,-0.6372175492985375
-0.5642403517342452,-0.6360441427514553
-0.5632633121641426,-0.634870736204373
-0.5622862725940401,-0.6339391852162188
-0.5613092330239375,-0.6328980458302542
-0.5603321934538349,-0.6318065077624644
-0.5593551538837322,-0.6307139549700072
-0.5583781143136297,-0.6296185725210786
-0.5574010747435272,-0.6284864868632719
-0.5564240351734245,-0.6273426530380997
-0.5554469956033219,-0.6261988192129274
-0.5544699560332194,-0.6250885629328766
-0.5534929164631168,-0.6239283825849663
-0.5525158768930142,-0.6228743751159664
-0.5515388373229115,-0.621854759544949
-0.550561797752809,-0.6208351439739316
-0.5495847581827065,-0.6195460776516339
-0.5486077186126038,-0.6185126901654101
-0.5476306790425012,-0.6174793026791863
-0.5466536394723986,-0.6164459151929627
-0.5456765999022961,-0.6154125277067389
-0.5446995603321935,-0.6143279043609292
-0.5437225207620908,-0.6132364054780581
-0.5427454811919883,-0.6121450397171846
-0.5417684416218858,-0.6110538890509402
-0.5407914020517831,-0.6099627383846955
-0.5398143624816805,-0.6088715877184508
-0.5388373229115779,-0.6077386691608847
-0.5378602833414754,-0.6065291210613563
-0.5368832437713728,-0.6053572818535485
-0.5359062042012701,-0.6042571395384543
-0.5349291646311676,-0.6031590346527491
-0.533952125061065,-0.6020666733147086
-0.5329750854909624,-0.6009780689639294
-0.5319980459208598,-0.5999043488384469
-0.5310210063507572,-0.5988306287129644
-0.5300439667806547,-0.597756908587482
-0.529066927210552,-0.5966831884619995
-0.5280898876404494,-0.595609468336517
-0.5271128480703469,-0.5945357482110346
-0.5261358085002443,-0.5934238467740871
-0.5251587689301417,-0.5922765389621402
-0.524181729360039,-0.5911365530385146
-0.5232046897899365,-0.5901210618888201
-0.522227650219834,-0.5891055707391255
-0.5212506106497313,-0.5880900795894307
-0.5202735710796287,-0.5870308760018456
-0.5192965315095261,-0.5859382136383735
-0.5183194919394236,-0.5848449907914498
-0.517342452369321,-0.5836648229613909
-0.5163654127992183,-0.5824846551313321
-0.5153883732291158,-0.5813318178736876
-0.5144113336590133,-0.5803307128005306
-0.5134342940889106,-0.5793296077273735
-0.512457254518808,-0.5781605395536655
-0.5114802149487054,-0.5770849440483832
-0.5105031753786029,-0.576056430949133
-0.5095261358085003,-0.5750017261888035
-0.5085490962383976,-0.5738175204837149
-0.5075720566682951,-0.5726333147786264
-0.5065950170981925,-0.5714807223388084
-0.5056179775280899,-0.5703929336758191
-0.5046409379579873,-0.569305443637051
-0.5036638983878847,-0.5682398182393985
-0.5026868588177822,-0.5671827982768458
-0.5017098192476795,-0.5661257783142929
-0.5007327796775769,-0.5650687583517401
-0.49975574010747437,-0.5640117383891874
-0.49877870053737183,-0.5629547184266346
-0.4978016609672692,-0.5618976984640818
-0.49682462139716654,-0.5608177582673978
-0.495847581827064,-0.5597245096372191
-0.4948705422569615,-0.558632646576567
-0.49389350268685883,-0.5575417720920766
-0.4929164631167562,-0.5561937507506531
-0.49193942354665365,-0.5551060582686465
-0.4909623839765511,-0.5541282150243583
-0.4899853444064485,-0.55315037178007
-0.48900830483634583,-0.5520767119102646
-0.4880312652662433,-0.550983675862093
-0.48705422569614076,-0.5498563126692375
-0.4860771861260381,-0.548718259326313
-0.4851001465559355,-0.5475802059833885
-0.48412310698583294,-0.5464421526404641
-0.4831460674157304,-0.5453040992975398
-0.48216902784562776,-0.5442223892354383
-0.4811919882755251,-0.5432183671695888
-0.4802149487054226,-0.5422143451037396
-0.47923790913532005,-0.5409281262759329
-0.4782608695652174,-0.5398947992016088
-0.47728382999511476,-0.5388773742120071
-0.4763067904250122,-0.5378449501972445
-0.4753297508549097,-0.5367831860609041
-0.47435271128480705,-0.5356428019258818
-0.4733756717147044,-0.5345024177908594
-0.47239863214460187,-0.5333620336558371
-0.47142159257449934,-0.5322216495208149
-0.4704445530043967,-0.5310812653857926
-0.46946751343429405,-0.5299662808560903
-0.4684904738641915,-0.528903755649929
-0.467513434294089,-0.5279253614320636
-0.46653639472398634,-0.5269469672141982
-0.4655593551538837,-0.5258664329812563
-0.46458231558378116,-0.5247744606358214
-0.4636052760136786,-0.5236824882903865
-0.462628236443576,-0.5225905159449515
-0.46165119687347334,-0.5214985435995166
-0.4606741573033708,-0.5204067965463798
-0.45969711773326827,-0.5193154114325812
-0.4587200781631656,-0.5182240263187825
-0.457743038593063,-0.5170279840125597
-0.45676599902296044,-0.5157920109901227
-0.4557889594528579,-0.5146846743386145
-0.45481191988275527,-0.5137275236945912
-0.4538348803126526,-0.5127542350105453
-0.4528578407425501,-0.511484048798578
-0.45188080117244755,-0.5103119868665318
-0.4509037616023449,-0.5092205585062518
-0.44992672203224227,-0.5081291301459718
-0.44894968246213973,-0.507037701785692
-0.4479726428920372,-0.5059462734254121
-0.44699560332193455,-0.5048548450651321
-0.4460185637518319,-0.5037634167048521
-0.4450415241817294,-0.5026719883445724
-0.44406448461162684,-0.5015805599842925
-0.4430874450415242,-0.5004891316240125
-0.44211040547142155,-0.499486383237351
-0.441133365901319,-0.49850670370627836
-0.4401563263312165,-0.49746891040886576
-0.43917928676111384,-0.4963792375212367
-0.4382022471910112,-0.49529066436438013
-0.43722520762090866,-0.49418669219678607
-0.43624816805080613,-0.49307064090598857
-0.4352711284807035,-0.4919545896151909
-0.43429408891060084,-0.4908385383243933
-0.4333170493404983,-0.4897224870335957
-0.4323400097703958,-0.4886064357427982
-0.4313629702002931,-0.48760761244869916
-0.4303859306301905,-0.48647008880384307
-0.42940889106008795,-0.48526857223636105
-0.4284318514899854,-0.48419765319724756
-0.42745481191988277,-0.4830317295105847
-0.4264777723497801,-0.48215045657196925
-0.4255007327796776,-0.4808364336948758
-0.42452369320957506,-0.47972273652534836
-0.4235466536394724,-0.4786283988765933
-0.42256961406936977,-0.4775572865959483
-0.42159257449926724,-0.47671740530826906
-0.4206155349291647,-0.475546527494929
-0.41963849535906206,-0.47437564968158874
-0.4186614557889594,-0.4732047718682485
-0.4176844162188569,-0.47212906365819296
-0.41670737664875435,-0.47111135163706835
-0.4157303370786517,-0.47009363961594364
-0.41475329750854906,-0.46907592759481886
-0.4137762579384465,-0.467719685344136
-0.412799218368344,-0.4666880910303689
-0.41182217879824135,-0.46565649671660164
-0.4108451392281387,-0.46462490240283444
-0.40986809965803617,-0.46359330808906735
-0.40889106008793363,-0.4624490116862827
-0.407914020517831,-0.46125083334766676
-0.40693698094772834,-0.46007403171414174
-0.4059599413776258,-0.45911643291275867
-0.4049829018075233,-0.4581579765816621
-0.40400586223742063,-0.4570629861735201
-0.403028822667318,-0.45596967797034194
-0.40205178309721545,-0.4548795902104488
-0.4010747435271129,-0.4537871930190182
-0.4000977039570103,-0.45269479582758737
-0.39912066438690763,-0.4516023986361566
-0.3981436248168051,-0.4505100014447259
-0.39716658524670256,-0.4493640005315383
-0.3961895456765999,-0.4481379697965355
-0.3952125061064973,-0.4470811770921498
-0.39423546653639474,-0.44614563891092596
-0.3932584269662922,-0.44505323252195195
-0.39228138739618956,-0.4439608261329778
-0.3913043478260869,-0.44278708220339447
-0.3903273082559844,-0.4415336104606143
-0.38935026868588185,-0.4404040448566707
-0.3883732291157792,-0.439348086530377
-0.38739618954567656,-0.438296022879103
-0.38641914997557403,-0.43724395922782916
-0.3854421104054715,-0.4361918955765553
-0.38446507083536885,-0.43513983192528133
-0.3834880312652662,-0.43408776827400736
-0.38251099169516367,-0.4330314178202056
-0.38153395212506114,-0.4319410195480054
-0.3805569125549585,-0.43085062127580503
-0.37957987298485585,-0.42965825365500865
-0.3786028334147533,-0.4284144933978642
-0.3776257938446508,-0.4272950997423898
-0.37664875427454814,-0.426200053098618
-0.3756717147044455,-0.4251050064548463
-0.37469467513434296,-0.42423129390048514
-0.3737176355642404,-0.4231595952513745
-0.3727405959941378,-0.42199812714007184
-0.37176355642403514,-0.42083665902876927
-0.3707865168539326,-0.41967519091746686
-0.36980947728383007,-0.41865609895394634
-0.3688324377137274,-0.41771953305978976
-0.3678553981436248,-0.4166545543586665
-0.36687835857352225,-0.4155595941965196
-0.3659013190034197,-0.4144646340343727
-0.36492427943331707,-0.41337361179011717
-0.3639472398632144,-0.4122828011278216
-0.3629702002931119,-0.4111919904655262
-0.36199316072300936,-0.4100080433622398
-0.3610161211529067,-0.4088239792629865
-0.36003908158280407,-0.40777363793859717
-0.35906204201270153,-0.4066813824585507
-0.358085002442599,-0.4055891269785042
-0.35710796287249635,-0.4044968714984576
-0.3561309233023937,-0.4034901333309224
-0.3551538837322912,-0.40244960190576956
-0.35417684416218864,-0.40136017878907027
-0.353199804592086,-0.4002702639069182
-0.35222276502198335,-0.39918009232422696
-0.3512457254518808,-0.3980899207415358
-0.3502686858817783,-0.39687196489499
-0.34929164631167564,-0.39571793134603456
-0.348314606741573,-0.3945814084479816
-0.34733756717147046,-0.3934448855499289
-0.34636052760136793,-0.39239382065050904
-0.3453834880312653,-0.3913639373305461
-0.34440644846116264,-0.39044256562203605
-0.3434294088910601,-0.3893508094357453
-0.3424523693209576,-0.38825905324945453
